player_id,name,stats_url,year,overall_winrate,citizen_winrate,sheriff_winrate,mafia_winrate,don_winrate,total_games,citizen_games,sheriff_games,mafia_games,don_games,extra_points_avg_10_games,extra_points_mafia_avg,extra_points_don_avg,extra_points_citizen_avg,extra_points_sheriff_avg,overall_rank,citizen_rank,sheriff_rank,mafia_rank,don_rank,overall_score,player_category,region
7164,Ностальгия,https://gomafia.pro/stats/7164,2024,35,45,25,100,0,20,11,4,1,4,0.1,0.0,0.0,0.02,0.0,2054.0,1171.0,439.0,856.0,439.0,7.285898496987352,Intermediate,far_east
7165,Йоогурт,https://gomafia.pro/stats/7165,2023,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2051.0,1235.0,312.0,653.0,321.0,5.236839038601602,Novice,far_east
7165,Йоогурт,https://gomafia.pro/stats/7165,2024,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2467.0,1548.0,439.0,856.0,439.0,5.236839038601602,Novice,far_east
7169,FOX Magadan,https://gomafia.pro/stats/7169,2023,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2051.0,1235.0,312.0,653.0,321.0,5.236839038601602,Novice,far_east
7169,FOX Magadan,https://gomafia.pro/stats/7169,2024,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2467.0,1548.0,439.0,856.0,439.0,5.236839038601602,Novice,far_east
7177,PuaroChita,https://gomafia.pro/stats/7177,2023,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2051.0,1235.0,312.0,653.0,321.0,5.236839038601602,Novice,far_east
7177,PuaroChita,https://gomafia.pro/stats/7177,2024,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2467.0,1548.0,439.0,856.0,439.0,5.236839038601602,Novice,far_east
7178,Сёгун,https://gomafia.pro/stats/7178,2023,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2051.0,1235.0,312.0,653.0,321.0,5.236839038601602,Novice,far_east
7178,Сёгун,https://gomafia.pro/stats/7178,2024,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2467.0,1548.0,439.0,856.0,439.0,5.236839038601602,Novice,far_east
7181,Ангел 143,https://gomafia.pro/stats/7181,2023,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2051.0,1235.0,312.0,653.0,321.0,5.236839038601602,Novice,far_east
7181,Ангел 143,https://gomafia.pro/stats/7181,2024,40,40,33,50,0,10,5,3,2,0,0.4,0.05,0.0,0.02,0.07,2165.0,1548.0,439.0,856.0,439.0,6.941158940977084,Intermediate,far_east
7198,ОпричниК,https://gomafia.pro/stats/7198,2023,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2051.0,1235.0,312.0,653.0,321.0,5.236839038601602,Novice,far_east
7198,ОпричниК,https://gomafia.pro/stats/7198,2024,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2467.0,1548.0,439.0,856.0,439.0,5.236839038601602,Novice,far_east
7213,Numerolog,https://gomafia.pro/stats/7213,2023,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2051.0,1235.0,312.0,653.0,321.0,5.236839038601602,Novice,far_east
7213,Numerolog,https://gomafia.pro/stats/7213,2024,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2467.0,1548.0,439.0,856.0,439.0,5.236839038601602,Novice,far_east
7233,Ptaha,https://gomafia.pro/stats/7233,2023,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2051.0,1235.0,312.0,653.0,321.0,5.236839038601602,Novice,far_east
7233,Ptaha,https://gomafia.pro/stats/7233,2024,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2467.0,1548.0,439.0,856.0,439.0,5.236839038601602,Novice,far_east
7249,HappyEnd,https://gomafia.pro/stats/7249,2023,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2051.0,1235.0,312.0,653.0,321.0,5.236839038601602,Novice,far_east
7249,HappyEnd,https://gomafia.pro/stats/7249,2024,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2467.0,1548.0,439.0,856.0,439.0,5.236839038601602,Novice,far_east
7266,Флёр Делакур,https://gomafia.pro/stats/7266,2023,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2051.0,1235.0,312.0,653.0,321.0,5.236839038601602,Novice,far_east
7266,Флёр Делакур,https://gomafia.pro/stats/7266,2024,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2467.0,1548.0,439.0,856.0,439.0,5.236839038601602,Novice,far_east
7277,ФАНАТКА,https://gomafia.pro/stats/7277,2023,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2051.0,1235.0,312.0,653.0,321.0,5.236839038601602,Novice,far_east
7277,ФАНАТКА,https://gomafia.pro/stats/7277,2024,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2467.0,1548.0,439.0,856.0,439.0,5.236839038601602,Novice,far_east
7283,Пенсия,https://gomafia.pro/stats/7283,2023,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2051.0,1235.0,312.0,653.0,321.0,5.236839038601602,Novice,far_east
7283,Пенсия,https://gomafia.pro/stats/7283,2024,35,36,50,25,0,20,11,4,4,1,0.55,0.05,0.0,0.05,0.1,2038.0,1365.0,439.0,856.0,439.0,7.331318736343772,Intermediate,far_east
7284,МКС,https://gomafia.pro/stats/7284,2023,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2051.0,1235.0,312.0,653.0,321.0,5.236839038601602,Novice,far_east
7284,МКС,https://gomafia.pro/stats/7284,2024,30,40,0,25,25,20,10,2,4,4,0.4,0.0,0.1,0.04,0.0,2248.0,1320.0,439.0,856.0,439.0,6.668635439427044,Intermediate,far_east
