player_id,name,stats_url,year,overall_winrate,citizen_winrate,sheriff_winrate,mafia_winrate,don_winrate,total_games,citizen_games,sheriff_games,mafia_games,don_games,extra_points_avg_10_games,extra_points_mafia_avg,extra_points_don_avg,extra_points_citizen_avg,extra_points_sheriff_avg
4871,Боня,https://gomafia.pro/stats/4871,2024,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
4874,savac2,https://gomafia.pro/stats/4874,2023,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
4874,savac2,https://gomafia.pro/stats/4874,2024,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
4875,savaprod,https://gomafia.pro/stats/4875,2023,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
4875,savaprod,https://gomafia.pro/stats/4875,2024,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
4876,Пила_Минск,https://gomafia.pro/stats/4876,2023,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
4876,Пила_Минск,https://gomafia.pro/stats/4876,2024,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
4877,Джейн Минск,https://gomafia.pro/stats/4877,2023,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
4877,Джейн Минск,https://gomafia.pro/stats/4877,2024,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
4879,Фиалка,https://gomafia.pro/stats/4879,2023,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
4879,Фиалка,https://gomafia.pro/stats/4879,2024,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
4881,Скорпион,https://gomafia.pro/stats/4881,2023,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
4881,Скорпион,https://gomafia.pro/stats/4881,2024,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
4884,Смородинa,https://gomafia.pro/stats/4884,2023,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
4884,Смородинa,https://gomafia.pro/stats/4884,2024,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
4889,Сайлер,https://gomafia.pro/stats/4889,2023,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
4889,Сайлер,https://gomafia.pro/stats/4889,2024,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
4894,_Archi,https://gomafia.pro/stats/4894,2023,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
4894,_Archi,https://gomafia.pro/stats/4894,2024,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
